[00:14:21] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:14:23] [ServerMain/INFO]: Loaded 7 recipes
[00:14:24] [ServerMain/INFO]: Loaded 1271 advancements
[00:14:24] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:14:24] [Server thread/INFO]: Loading properties
[00:14:24] [Server thread/INFO]: Default game type: SURVIVAL
[00:14:24] [Server thread/INFO]: Generating keypair
[00:14:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:14:24] [Server thread/INFO]: Using epoll channel type
[00:14:25] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:14:25] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:14:25] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:14:25] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:14:25] [Server thread/INFO]: Preparing level "world"
[00:14:37] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:14:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:37] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:38] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:39] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:43] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:44] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:45] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:45] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:46] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:46] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:47] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:47] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:48] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:48] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:49] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:49] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:50] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:50] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:51] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:51] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:52] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:52] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:55] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:55] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:14:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
